"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Switzerland|Geneve|NA",2020-02-25,"Switzerland","Geneve",NA,46.195602,6.148113,0,0,72,0,0,72,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Ticino|NA",2020-02-25,"Switzerland","Ticino",NA,46.009279,8.955576,0,1,0,0,1,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Aargau|NA",2020-02-25,"Switzerland","Aargau",NA,47.449406,8.327495,0,0,0,0,0,0,671000,0.203,0.624,0.174,41.4,481,0.071
"Switzerland|Appenzell Innerrhoden|NA",2020-02-25,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Appenzell Ausserrhoden|NA",2020-02-25,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,0,0,0,0,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Bern|NA",2020-02-25,"Switzerland","Bern",NA,46.916667,7.466667,0,0,0,0,0,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Baselland|NA",2020-02-25,"Switzerland","Baselland",NA,47.482779,7.742975,0,0,0,0,0,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-02-25,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,0,0,0,0,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Fribourg|NA",2020-02-25,"Switzerland","Fribourg",NA,46.718391,7.074008,0,0,0,0,0,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Glarus|NA",2020-02-25,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-02-25,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Jura|NA",2020-02-25,"Switzerland","Jura",NA,47.350744,7.156107,0,0,0,0,0,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Luzern|NA",2020-02-25,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Neuchatel|NA",2020-02-25,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,0,0,0,0,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|Nidwalden|NA",2020-02-25,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-02-25,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|St.Gallen|NA",2020-02-25,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,0,0,0,0,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
